"","word","freq"
"収納ボックスが2杯タイプと7杯タイプが選べる❣️","収納ボックスが2杯タイプと7杯タイプが選べる❣️",15
"イラスト","イラスト",15
"cashbackiesaga1","cashbackiesaga1",14
"水商…","水商…",14
"バイト探し","バイト探し",14
"移籍","移籍",14
"仲介手数料タダ","仲介手数料タダ",14
"猫のいる暮らし","猫のいる暮らし",14
"お気軽にご相談ください♪","お気軽にご相談ください♪",14
"line友達追加者限定で配布予定です♪","line友達追加者限定で配布予定です♪",14
"をプレゼントします！…","をプレゼントします！…",14
"ビタミンcを摂りましょう♪","ビタミンcを摂りましょう♪",14
"今なら友達追加者限定で","今なら友達追加者限定で",14
"寒い季節。","寒い季節。",14
"風邪を予防するためには、","風邪を予防するためには、",14
"風邪予防のレシピを","風邪予防のレシピを",14
"2杯タイプ👜","2杯タイプ👜",14
"7杯タイプ👜…","7杯タイプ👜…",14
"アメブロ","アメブロ",13
"学生寮","学生寮",13
"東仁学生会館","東仁学生会館",13
"お一人暮らしをする際にアリバイ会社、保証人が必要の場合はクレサリーにお任せください！　一人暮らし　　","お一人暮らしをする際にアリバイ会社、保証人が必要の場合はクレサリーにお任せください！　一人暮らし　　",13
"おうちごはん　＃一人暮らし　＃料理　＃instafood","おうちごはん　＃一人暮らし　＃料理　＃instafood",13
"オススメyoutuberユーチューバー　【ugチャンネル】","オススメyoutuberユーチューバー　【ugチャンネル】",13
"人気沸騰中！自宅で簡単！【一人暮らし】【料理初心者】超必見！！！","人気沸騰中！自宅で簡単！【一人暮らし】【料理初心者】超必見！！！",13
"コロナ","コロナ",13
"をプレゼントします！","をプレゼントします！",13
"今ならline友達追加者限定で","今ならline友達追加者限定で",13
"＃料理　＃一人暮らし","＃料理　＃一人暮らし",13
"冷蔵庫","冷蔵庫",13
"勉強垢さんと繋がりたい","勉強垢さんと繋がりたい",13
"【一人暮らし女性の防犯】下着は外から見えるところに干さないようにしましょう。カーテンは夜間に部屋を明るくした時も内部の様子が透けて見えないものを選びましょう。個人情報が書かれている書類を捨てる時は、細かく破いてから他のゴミに混ぜて出しましょ…","【一人暮らし女性の防犯】下着は外から見えるところに干さないようにしましょう。カーテンは夜間に部屋を明るくした時も内部の様子が透けて見えないものを選びましょう。個人情報が書かれている書類を捨てる時は、細かく破いてから他のゴミに混ぜて出しましょ…",13
"vlog","vlog",12
"秋","秋",12
"きょうの料理","きょうの料理",12
"チューハイ","チューハイ",12
"ビール","ビール",12
"日本酒","日本酒",12
"焼酎","焼酎",12
"鍋料理","鍋料理",12
"学生マンション","学生マンション",12
"新宿","新宿",12
"「フリーの仕事で物件を借りにくい」即日対応！成功報酬！","「フリーの仕事で物件を借りにくい」即日対応！成功報酬！",12
"朝活","朝活",12
"マンション寮あります´ー｀","マンション寮あります´ー｀",12
"住む部屋を探している女の子","住む部屋を探している女の子",12
"転職や起業独立で、関西にお引っ越しをされる予定のある方は、dm頂きましたら、内見からご契約まで、サポートさせて頂きます。","転職や起業独立で、関西にお引っ越しをされる予定のある方は、dm頂きましたら、内見からご契約まで、サポートさせて頂きます。",12
"　","　",12
"ワンルーム","ワンルーム",12
"linesticker","linesticker",12
"lineスタンプ","lineスタンプ",12
"不眠症の女の子のお話","不眠症の女の子のお話",12
"会社員","会社員",12
"寝不足ちゃん","寝不足ちゃん",12
"引越し","引越し",11
"シンプルライフ","シンプルライフ",11
"おいしい","おいしい",11
"食事付","食事付",11
"staysafe","staysafe",11
"staysafeoutthere","staysafeoutthere",11
"staysafestayhealthy","staysafestayhealthy",11
"アラフォー","アラフォー",11
"youtube","youtube",11
"ナイトワーク","ナイトワーク",11
"こちらでは、ur物件やフリーレントが付いている物件も取り扱い中ですので、dm頂けましたら、サポートさせて頂きます！","こちらでは、ur物件やフリーレントが付いている物件も取り扱い中ですので、dm頂けましたら、サポートさせて頂きます！",11
"千葉","千葉",11
"料理好きさんと繋がりたい","料理好きさんと繋がりたい",11
"raion8101","raion8101",11
"小さい秋。","小さい秋。",11
"popo55667788","popo55667788",11
"ミニマリスト","ミニマリスト",10
"tokyostage","tokyostage",10
"安心安全","安心安全",10
"time","time",10
"♪","♪",10
"名古屋","名古屋",10
"happyotane","happyotane",10
"一人暮らしの野菜不足を解消！野菜不足のデメリットと余らない保存法","一人暮らしの野菜不足を解消！野菜不足のデメリットと余らない保存法",10
"一人暮らしや野菜が取りにくい人におススメ❣️","一人暮らしや野菜が取りにくい人におススメ❣️",10
"野菜不足","野菜不足",10
"野菜好き","野菜好き",10
"野菜手押し","野菜手押し",10
"野菜苦手","野菜苦手",10
"との報道。","との報道。",10
"今日のコロナ感染者数","今日のコロナ感染者数",10
"感染者数","感染者数",10
"アメブロを投稿しました。","アメブロを投稿しました。",10
"【一人暮らしやsoho事務所に最適】霜取り不要の小型冷蔵庫を購入しました","【一人暮らしやsoho事務所に最適】霜取り不要の小型冷蔵庫を購入しました",10
"小型","小型",10
"霜取り不要","霜取り不要",10
"読書","読書",10
"料理初心者","料理初心者",10
"loω…","loω…",10
"もみじ","もみじ",10
"秋の創作クラスターフォロー祭り","秋の創作クラスターフォロー祭り",10
"受験生","受験生",9
"浪人日記","浪人日記",9
"浪人生","浪人生",9
"＊24時間365日営業のコンビニ不動産＊","＊24時間365日営業のコンビニ不動産＊",9
"「引っ越したいけど、混みいった理由で勤務先が必要」即日対応！成功報酬！","「引っ越したいけど、混みいった理由で勤務先が必要」即日対応！成功報酬！",9
"電子レンジ","電子レンジ",9
"新卒","新卒",9
"＃賃貸","＃賃貸",9
"お弁当","お弁当",9
"お腹ぺこりん部","お腹ぺこりん部",9
"猫との暮らし","猫との暮らし",9
"渋谷","渋谷",9
"賃貸マンション","賃貸マンション",9
"料理下手くそ選手権","料理下手くそ選手権",9
"発達料理部","発達料理部",9
"晩酌","晩酌",9
"三重…","三重…",9
"近畿圏外からお引っ越しのかたで、どの不動産屋さんに行けばいいか、わからない方は、一度dm貰えれば、様々なことをアドバイスさせて頂きます！","近畿圏外からお引っ越しのかたで、どの不動産屋さんに行けばいいか、わからない方は、一度dm貰えれば、様々なことをアドバイスさせて頂きます！",9
"池袋","池袋",9
"料理女子","料理女子",9
"アラサー","アラサー",9
"4コマ漫画","4コマ漫画",9
"お世話になりました","お世話になりました",9
"はたらっくま","はたらっくま",9
"ゆるキャラ","ゆるキャラ",9
"オリジナルキャラクター","オリジナルキャラクター",9
"就活","就活",9
"＃料理","＃料理",8
"飯テロ","飯テロ",8
"ｈｐ","ｈｐ",8
"ハイボール…","ハイボール…",8
"宅飲み","宅飲み",8
"メニュー","メニュー",8
"夕食","夕食",8
"自炊女子","自炊女子",8
"youtubeより","youtubeより",8
"followme","followme",8
"【一人暮らしやsohoにおすすめ】オーブンレンジレビュー","【一人暮らしやsohoにおすすめ】オーブンレンジレビュー",8
"アイリスオーヤマ","アイリスオーヤマ",8
"オーブンレンジ","オーブンレンジ",8
"女性専用のマンションやセキュリティー万全な物件もご用意してあります！","女性専用のマンションやセキュリティー万全な物件もご用意してあります！",8
"おはようございます！","おはようございます！",8
"また、夜のお仕事夜職などの方でも、安心して家を借りて頂けるよう、準備していますので、気になることがあれば、一度dm下さい！","また、夜のお仕事夜職などの方でも、安心して家を借りて頂けるよう、準備していますので、気になることがあれば、一度dm下さい！",8
"奈良…","奈良…",8
"一人暮らしをしたい女の子","一人暮らしをしたい女の子",8
"東京に来たい女の子","東京に来たい女の子",8
"】","】",8
"簿記2級","簿記2級",8
"独身","独身",8
"五反田","五反田",8
"茨城","茨城",8
"裏アカ男子","裏アカ男子",8
"節約料理","節約料理",8
"shizuki723","shizuki723",8
"大学生","大学生",8
"ドレッサー","ドレッサー",8
"【tokyoひとりぐらし】","【tokyoひとりぐらし】",8
"動画はこちら▶︎","動画はこちら▶︎",8
"↓youtube↓","↓youtube↓",8
"hatarakkuma2020","hatarakkuma2020",8
"今日の俺的晩ご飯シリーズ","今日の俺的晩ご飯シリーズ",7
"寝るところだけ綺麗になっている。","寝るところだけ綺麗になっている。",7
"お弁当記録","お弁当記録",7
"動画編集","動画編集",7
"一人暮らし　アリバイ　保証人　","一人暮らし　アリバイ　保証人　",7
"最初はご相談から！その方に合った安心のために・・。","最初はご相談から！その方に合った安心のために・・。",7
"hitomi11hitori","hitomi11hitori",7
"アボカドもチーズもたまごも大好物です🥑🧀🥚","アボカドもチーズもたまごも大好物です🥑🧀🥚",7
"一人暮らし　自炊","一人暮らし　自炊",7
"ナイトルーティン","ナイトルーティン",7
"発達一人暮らし部","発達一人暮らし部",7
"おすすめ","おすすめ",7
"myroom","myroom",7
"ランチ","ランチ",7
"▶…","▶…",7
"ボンビーガール","ボンビーガール",7
"男飯","男飯",7
"【kururi】","【kururi】",7
"あわせてお値段も抑えめです💙","あわせてお値段も抑えめです💙",7
"壁に取り付けて、竿掛けが120°動く🎡","壁に取り付けて、竿掛けが120°動く🎡",7
"構造はとてもシンプル🕊️✨","構造はとてもシンプル🕊️✨",7
"＃室内物干し","＃室内物干し",7
"＃家事","＃家事",7
"＃森田アルミ","＃森田アルミ",7
"＃洗濯物","＃洗濯物",7
"2口コンセント付きで、ヘアアイロンやドライヤーはもちろん、スマホ充電にも便利🍰","2口コンセント付きで、ヘアアイロンやドライヤーはもちろん、スマホ充電にも便利🍰",7
"スペースに合わせて横幅を変えられる伸縮ロードレッサー🍒","スペースに合わせて横幅を変えられる伸縮ロードレッサー🍒",7
"商品ページ→","商品ページ→",7
"休日","休日",6
"ルームツアー","ルームツアー",6
"写真","写真",6
"ブログ更新","ブログ更新",6
"医療従事者","医療従事者",6
"‼️","‼️",6
"ズボラ飯","ズボラ飯",6
"今日のお弁当🍱","今日のお弁当🍱",6
"社会人の勉強垢","社会人の勉強垢",6
"◎一人暮らしをしたい女の子","◎一人暮らしをしたい女の子",6
"◎東京に来たい女の子","◎東京に来たい女の子",6
"おすすめ食材もついでに更新♪","おすすめ食材もついでに更新♪",6
"私のお料理記録更新中。","私のお料理記録更新中。",6
"＃おすすめ食材教えて","＃おすすめ食材教えて",6
"＃一人暮らしの台所","＃一人暮らしの台所",6
"＃料理好きな人とつながりたい","＃料理好きな人とつながりたい",6
"＠chefryoko","＠chefryoko",6
"おしゃれ","おしゃれ",6
"模様替え","模様替え",6
"一人暮らしならわかるはずだ","一人暮らしならわかるはずだ",6
"手抜き料理","手抜き料理",6
"upしました✨","upしました✨",6
