	cashbackiesaga1	お部屋探し	ガパオライス	シャンプー	ゼロゼロ	ネットで探して借りたいお部屋が既に決まってる人は仲介手数料	ボディーソープを買い足すのを忘れて	ボンビーガール	リンス	一人暮らし	不動産	仲介手数料0円	仲介手数料無料	保証人なし	初期費用キャッシュバック	売買	平和島大田区の住みやすさ口コミ	引越し	料理	新築	月曜日から夜更かし	東京に住みたい	水で薄めて使う	水商	激安	競馬場が近いため騒がしい	等々力の住みやすさを歩いて調査してきた	管理	緑が多く治安もよい街	賃貸	部屋探し
tw_text1.txt	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tw_text2.txt	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0
tw_text3.txt	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1
tw_text4.txt	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1
tw_text5.txt	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
